Institution Name,Branch Name,Established Date,Street Address,City,County,State,Zipcode,Latitude,Longitude,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits
JPMorgan Chase Bank,High Desert Gateway Branch,03/31/2008,12731 Main Street,Hesperia,San Bernardino,CA,92345,34.482,-117.33801000000001,17992.0,24219.0,31689.0,38377.0
JPMorgan Chase Bank,North Bellmore Branch,10/20/1956,1542 Bellmore Avenue,North Bellmore,Nassau,NY,11710,40.683690000000006,-73.53926,118453.0,120413.0,120700.0,129811.0
JPMorgan Chase Bank,South Valley Stream Branch,11/01/1966,930 Rosedale Road,Valley Stream,Nassau,NY,11581,40.65331,-73.72446,104107.0,104985.0,106264.0,118691.0
JPMorgan Chase Bank,Sullivan Road Branch,03/26/1979,6627 Sullivan Road,Greenwell Springs,East Baton Rouge,LA,70739,30.513140000000003,-91.03005999999999,44577.0,47538.0,50896.0,52664.0
JPMorgan Chase Bank,Wurzbach and NW Military Branch,11/06/2008,12503 NW Military Hwy,San Antonio,Bexar,TX,78231,29.55633,-98.53435999999999,8516.0,8398.0,11114.0,13696.0
JPMorgan Chase Bank,Twinsburg Branch,02/20/1975,9023 Darrow Road,Twinsburg,Summit,OH,44087,41.31106,-81.44024,40037.0,47553.0,53592.0,69158.0
JPMorgan Chase Bank,Elkhart Main Branch,02/25/1872,121 West Franklin Street,Elkhart,Elkhart,IN,46516,41.684059999999995,-85.97225999999999,418170.0,289256.0,292448.0,347353.0
JPMorgan Chase Bank,73rd Street & Broadway Branch,01/01/1800,2099 Broadway,New York City,New York,NY,10023,40.77959,-73.98192,414374.0,436965.0,508815.0,572092.0
JPMorgan Chase Bank,Rockford North Main Branch,09/08/1965,3699 North Main Street,Rockford,Winnebago,IL,61103,42.3157,-89.07714,40190.0,41048.0,43726.0,48794.0
JPMorgan Chase Bank,South Hill Branch,03/19/1997,"17404 Meridian East, Suite A",Puyallup,Pierce,WA,98375,47.09921,-122.29361000000002,32890.0,37055.0,38794.0,36806.0
JPMorgan Chase Bank,So Brooklyn - Smith Street Branch,07/12/2004,192 Smith Street #194,Brooklyn,Kings,NY,11201,40.685109999999995,-73.99157,29081.0,30865.0,36472.0,49125.0
JPMorgan Chase Bank,Hazel Crest Banking Center Branch,03/31/2004,3480 West 183rd Street,Hazel Crest,Cook,IL,60429,41.55728,-87.70111,14168.0,15285.0,16121.0,18139.0
JPMorgan Chase Bank,Audubon Branch,04/02/1917,3940 Broadway,New York City,New York,NY,10032,40.83951,-73.94077,91380.0,97219.0,104093.0,106875.0
JPMorgan Chase Bank,Barclay St Branch,06/30/1992,101 Barclay Street,New York City,New York,NY,10007,40.71371,-74.01168,140982.0,165248.0,201462.0,242800.0
JPMorgan Chase Bank,Springbrook Prairie Branch,09/05/2008,2503 W 75th St,Naperville,DuPage,IL,60540,41.74742,-88.19644,21237.0,34976.0,48165.0,60952.0
JPMorgan Chase Bank,Harbortown Branch,03/24/1933,3300 East Jefferson Avenue,Detroit,Wayne,MI,48207,42.34189,-83.01406999999999,30217.0,31814.0,32908.0,33098.0
JPMorgan Chase Bank,Custer and 720 Branch,08/05/2008,5101 S Custer Rd,Mckinney,Collin,TX,75070,33.17168,-96.69581,6511.0,9838.0,14161.0,18473.0
JPMorgan Chase Bank,Tropicana Beltway Branch,09/25/2008,5270 S Fort Apache,Las Vegas,Clark,NV,89148,36.09308,-115.29733,31977.0,41719.0,45202.0,45733.0
JPMorgan Chase Bank,Glendale Ave Branch,01/01/1919,500 N Glendale Ave,Glendale,Los Angeles,CA,91206,34.15327,-118.24383,192876.0,199963.0,202111.0,213386.0
